topic_id,n_records,n_subjects,serious_count,top_soc,top_terms,arm_distribution,severity_distribution,signal_score
2,76,43,3,NERVOUS SYSTEM DISORDERS,"{""DIZZINESS"": 32, ""HEADACHE"": 13, ""SYNCOPE"": 10, ""BALANCE DISORDER"": 3, ""LETHARGY"": 2}","{""Xanomeline High Dose"": 42, ""Xanomeline Low Dose"": 31, ""Placebo"": 3}","{""MILD"": 44, ""MODERATE"": 24, ""SEVERE"": 8}",0.6039
8,45,26,0,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,"{""APPLICATION SITE IRRITATION"": 34, ""APPLICATION SITE PERSPIRATION"": 3, ""APPLICATION SITE WARMTH"": 2, ""MALIGNANT FIBROUS HISTIOCYTOMA"": 2, ""APPLICATION SITE DISCHARGE"": 1}","{""Xanomeline Low Dose"": 24, ""Xanomeline High Dose"": 21}","{""MILD"": 22, ""MODERATE"": 19, ""SEVERE"": 4}",0.6
9,45,29,0,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,"{""APPLICATION SITE ERYTHEMA"": 45}","{""Xanomeline High Dose"": 23, ""Xanomeline Low Dose"": 19, ""Placebo"": 3}","{""MILD"": 27, ""MODERATE"": 15, ""SEVERE"": 3}",0.58
32,9,9,0,INFECTIONS AND INFESTATIONS,"{""NASOPHARYNGITIS"": 9}","{""Xanomeline High Dose"": 5, ""Xanomeline Low Dose"": 4}","{""MILD"": 9}",0.57
0,84,57,0,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,"{""PRURITUS"": 84}","{""Xanomeline High Dose"": 38, ""Xanomeline Low Dose"": 35, ""Placebo"": 11}","{""MILD"": 54, ""MODERATE"": 29, ""SEVERE"": 1}",0.5607
3,74,42,0,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,"{""RASH"": 38, ""SKIN IRRITATION"": 21, ""RASH ERYTHEMATOUS"": 2, ""RASH MACULO-PAPULAR"": 2, ""RASH PAPULAR"": 2}","{""Xanomeline Low Dose"": 35, ""Xanomeline High Dose"": 29, ""Placebo"": 10}","{""MILD"": 45, ""MODERATE"": 27, ""SEVERE"": 2}",0.5595
5,69,44,0,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,"{""APPLICATION SITE PRURITUS"": 69}","{""Xanomeline Low Dose"": 32, ""Xanomeline High Dose"": 27, ""Placebo"": 10}","{""MILD"": 45, ""MODERATE"": 23, ""SEVERE"": 1}",0.5565
18,13,11,0,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,"{""APPLICATION SITE VESICLES"": 13}","{""Xanomeline High Dose"": 6, ""Xanomeline Low Dose"": 5, ""Placebo"": 2}","{""MILD"": 8, ""MODERATE"": 5}",0.5538
23,12,11,0,GENERAL DISORDERS AND ADMINISTRATION SITE CONDITIONS,"{""FATIGUE"": 12}","{""Xanomeline High Dose"": 5, ""Xanomeline Low Dose"": 5, ""Placebo"": 2}","{""MILD"": 10, ""MODERATE"": 2}",0.55
25,11,11,0,SKIN AND SUBCUTANEOUS TISSUE DISORDERS,"{""HYPERHIDROSIS"": 11}","{""Xanomeline High Dose"": 7, ""Placebo"": 2, ""Xanomeline Low Dose"": 2}","{""MILD"": 10, ""MODERATE"": 1}",0.5455
