Topic,Count,Name,Representation,Representative_Docs
-1,63,-1_experienced rash_rash_affecting_treatment arm,"['experienced rash', 'rash', 'affecting', 'treatment arm', 'treatment', 'outcome', 'arm', 'subject experienced', 'experienced', 'severity']","['The subject experienced rash pruritic. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced rash maculo-papular. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced rash pruritic. affecting the skin and subcutaneous tissue disorders. Severity: moderate. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
0,84,0_experienced pruritus_pruritus affecting_pruritus_subcutaneous,"['experienced pruritus', 'pruritus affecting', 'pruritus', 'subcutaneous', 'skin subcutaneous', 'affecting skin', 'subcutaneous tissue', 'tissue', 'tissue disorders', 'skin']","['The subject experienced pruritus. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced pruritus. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced pruritus. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
1,77,1_gastrointestinal_affecting gastrointestinal_gastrointestinal disorders_outcome recoveredresolved,"['gastrointestinal', 'affecting gastrointestinal', 'gastrointestinal disorders', 'outcome recoveredresolved', 'recoveredresolved', 'recoveredresolved treatment', 'disorders severity', 'disorders', 'relationship', 'study drug']","['The subject experienced nausea. affecting the gastrointestinal disorders. Severity: mild. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced nausea. affecting the gastrointestinal disorders. Severity: mild. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced vomiting. affecting the gastrointestinal disorders. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
2,76,2_affecting nervous_nervous_nervous disorders_experienced dizziness,"['affecting nervous', 'nervous', 'nervous disorders', 'experienced dizziness', 'dizziness affecting', 'dizziness', 'disorders severity', 'possible', 'drug possible', 'possible outcome']","['The subject experienced dizziness. affecting the nervous system disorders. Severity: mild. Relationship to study drug: possible. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced dizziness. affecting the nervous system disorders. Severity: mild. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced dizziness. affecting the nervous system disorders. Severity: mild. Relationship to study drug: possible. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.']"
3,74,3_skin_rash_experienced rash_rash affecting,"['skin', 'rash', 'experienced rash', 'rash affecting', 'subcutaneous', 'skin subcutaneous', 'affecting skin', 'subcutaneous tissue', 'tissue disorders', 'tissue']","['The subject experienced rash. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced rash. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced rash. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
4,74,4_cardiac_affecting cardiac_cardiac disorders_bradycardia affecting,"['cardiac', 'affecting cardiac', 'cardiac disorders', 'bradycardia affecting', 'bradycardia', 'sinus', 'experienced sinus', 'sinus bradycardia', 'infarction', 'experienced myocardial']","['The subject experienced sinus bradycardia. affecting the cardiac disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced sinus bradycardia. affecting the cardiac disorders. Severity: mild. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced sinus bradycardia. affecting the cardiac disorders. Severity: mild. Relationship to study drug: remote. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
5,69,5_site pruritus_site_pruritus affecting_pruritus,"['site pruritus', 'site', 'pruritus affecting', 'pruritus', 'application', 'application site', 'experienced application', 'general', 'affecting general', 'administration site']","['The subject experienced application site pruritus. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced application site pruritus. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.', 'The subject experienced application site pruritus. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
6,66,6_respiratory_thoracic_respiratory thoracic_affecting respiratory,"['respiratory', 'thoracic', 'respiratory thoracic', 'affecting respiratory', 'mediastinal disorders', 'mediastinal', 'thoracic mediastinal', 'drug outcome', 'affecting infections', 'infections infestations']","['The subject experienced cough. affecting the respiratory, thoracic and mediastinal disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced respiratory tract congestion. affecting the respiratory, thoracic and mediastinal disorders. Severity: mild. Relationship to study drug: none. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced cough. affecting the respiratory, thoracic and mediastinal disorders. Severity: mild. Relationship to study drug: none. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.']"
7,61,7_erythema affecting_erythema_skin subcutaneous_subcutaneous tissue,"['erythema affecting', 'erythema', 'skin subcutaneous', 'subcutaneous tissue', 'subcutaneous', 'affecting skin', 'tissue', 'tissue disorders', 'skin', 'disorders severity']","['The subject experienced erythema. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.', 'The subject experienced erythema. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline high dose.', 'The subject experienced erythema. affecting the skin and subcutaneous tissue disorders. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline high dose.']"
8,45,8_site irritation_irritation_irritation affecting_site,"['site irritation', 'irritation', 'irritation affecting', 'site', 'experienced application', 'application', 'application site', 'administration', 'general', 'general disorders']","['The subject experienced application site irritation. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.', 'The subject experienced application site irritation. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: recovered/resolved. Treatment arm: xanomeline low dose.', 'The subject experienced application site irritation. affecting the general disorders and administration site conditions. Severity: mild. Relationship to study drug: probable. Outcome: not recovered/not resolved. Treatment arm: xanomeline low dose.']"
